25/07/2016,1313.08,1325.15,1319.115
26/07/2016,1314.51,1326.54,1320.525
27/07/2016,1314.28,1326.57,1320.425
28/07/2016,1335.47,1347.63,1341.55
29/07/2016,1332.15,1344.25,1338.2
30/07/2016,,,-1
31/07/2016,,,-1
01/08/2016,1344.56,1356.5,1350.53
02/08/2016,1348.61,1360.74,1354.675
03/08/2016,1359.7,1371.83,1365.765
04/08/2016,1349.03,1361.16,1355.095
05/08/2016,1358.14,1369.91,1364.025
06/08/2016,,,-1
07/08/2016,,,-1
08/08/2016,1330.76,1342.88,1336.82
09/08/2016,1329.49,1341.55,1335.52
10/08/2016,1346.07,1358.25,1352.16
11/08/2016,1339.97,1352.16,1346.065
12/08/2016,1334.17,1346.43,1340.3
13/08/2016,,,-1
14/08/2016,,,-1
15/08/2016,1335.03,1347.03,1341.03
16/08/2016,1341.27,1353.26,1347.265
17/08/2016,1340.48,1352.63,1346.555
18/08/2016,1348.58,1360.63,1354.605
19/08/2016,1343.62,1355.64,1349.63
20/08/2016,,,-1
21/08/2016,,,-1
22/08/2016,1330.3,1342.24,1336.27
23/08/2016,1334.32,1346.27,1340.295
24/08/2016,1333.16,1345.26,1339.21
25/08/2016,1321.57,1333.71,1327.64
26/08/2016,1319.85,1331.89,1325.87
27/08/2016,,,-1
28/08/2016,,,-1
29/08/2016,1313.68,1326,1319.84
30/08/2016,1318.39,1330.48,1324.435
31/08/2016,1309.38,1321.41,1315.395
01/09/2016,1305.06,1317.2,1311.13
02/09/2016,1308.71,1321.1,1314.905
03/09/2016,,,-1
04/09/2016,,,-1
05/09/2016,1320.54,1332.64,1326.59
06/09/2016,1322.6,1334.73,1328.665
07/09/2016,1346.43,1358.39,1352.41
08/09/2016,1342.44,1354.64,1348.54
09/09/2016,1333.2,1345.24,1339.22
10/09/2016,,,-1
11/09/2016,,,-1
12/09/2016,1324.04,1336.12,1330.08
13/09/2016,1325.29,1337.42,1331.355
14/09/2016,1315.95,1328.09,1322.02
15/09/2016,1318.1,1330.15,1324.125
16/09/2016,1310.82,1322.75,1316.785
17/09/2016,,,-1
18/09/2016,,,-1
19/09/2016,1310.7,1322.71,1316.705
20/09/2016,1311.03,1322.98,1317.005
21/09/2016,1312.78,1324.86,1318.82
22/09/2016,1329.21,1341.16,1335.185
23/09/2016,1331.43,1343.32,1337.375
24/09/2016,,,-1
25/09/2016,,,-1
26/09/2016,,,-1
27/09/2016,1331.92,1343.95,1337.935
28/09/2016,1320.91,1332.72,1326.815
29/09/2016,1319.13,1331.21,1325.17
30/09/2016,1319.42,1331.39,1325.405
01/10/2016,,,-1
02/10/2016,,,-1
03/10/2016,1311.58,1323.7,1317.64
04/10/2016,1306.11,1318.27,1312.19
05/10/2016,1267.73,1279.78,1273.755
06/10/2016,1261.54,1273.58,1267.56
07/10/2016,1250.83,1262.81,1256.82
08/10/2016,,,-1
09/10/2016,,,-1
10/10/2016,1257.21,1269.31,1263.26
11/10/2016,1254.54,1266.66,1260.6
12/10/2016,1251.61,1263.54,1257.575
13/10/2016,1254.57,1266.6,1260.585
14/10/2016,1252.14,1264.33,1258.235
15/10/2016,,,-1
16/10/2016,,,-1
17/10/2016,1249.77,1261.84,1255.805
18/10/2016,1254.13,1266.28,1260.205
19/10/2016,1258.28,1270.3,1264.29
20/10/2016,1266.57,1278.53,1272.55
21/10/2016,1259.57,1271.51,1265.54
22/10/2016,,,-1
23/10/2016,,,-1
24/10/2016,1260.94,1272.98,1266.96
25/10/2016,1261.74,1273.8,1267.77
26/10/2016,1270.74,1282.8,1276.77
27/10/2016,1262.97,1274.98,1268.975
28/10/2016,1265.52,1277.57,1271.545
29/10/2016,,,-1
30/10/2016,,,-1
31/10/2016,1272.46,1284.62,1278.54
01/11/2016,1273.63,1285.77,1279.7
02/11/2016,1287.72,1299.64,1293.68
03/11/2016,1296.24,1308.3,1302.27
04/11/2016,1295.85,1307.88,1301.865
05/11/2016,,,-1
06/11/2016,,,-1
07/11/2016,1286.08,1298.01,1292.045
08/11/2016,1279.28,1291.14,1285.21
09/11/2016,1303.9,1315.99,1309.945
10/11/2016,1279.8,1291.55,1285.675
11/11/2016,1254.76,1266.87,1260.815
12/11/2016,,,-1
13/11/2016,,,-1
14/11/2016,1215.23,1227.34,1221.285
15/11/2016,1221.71,1233.53,1227.62
16/11/2016,1224.99,1236.97,1230.98
17/11/2016,1222.86,1234.86,1228.86
18/11/2016,1206.41,1218.36,1212.385
19/11/2016,,,-1
20/11/2016,,,-1
21/11/2016,1209.43,1215.05,1212.24
22/11/2016,1215.18,1220.87,1218.025
23/11/2016,1210.72,1216.3,1213.51
24/11/2016,1182.79,1188.23,1185.51
25/11/2016,1178.2,1183.6,1180.9
26/11/2016,,,-1
27/11/2016,,,-1
28/11/2016,1190.77,1196.21,1193.49
29/11/2016,1189.32,1194.82,1192.07
30/11/2016,1187.43,1192.94,1190.185
01/12/2016,1168.93,1174.36,1171.645
02/12/2016,1171.65,1177.19,1174.42
03/12/2016,,,-1
04/12/2016,,,-1
05/12/2016,1173.18,1178.65,1175.915
06/12/2016,1169.59,1175.06,1172.325
07/12/2016,1166.09,1171.69,1168.89
08/12/2016,1173.73,1179.24,1176.485
09/12/2016,1165.55,1170.93,1168.24
10/12/2016,,,-1
11/12/2016,,,-1
12/12/2016,1153.87,1159.51,1156.69
13/12/2016,1159.36,1164.82,1162.09
14/12/2016,1157.95,1163.54,1160.745
15/12/2016,1138.12,1143.44,1140.78
16/12/2016,1127.88,1133.44,1130.66
17/12/2016,,,-1
18/12/2016,,,-1
19/12/2016,1136.07,1141.62,1138.845
20/12/2016,1134.36,1139.93,1137.145
21/12/2016,1132.06,1137.44,1134.75
22/12/2016,1128.49,1134.02,1131.255
23/12/2016,1127.93,1133.48,1130.705
24/12/2016,,,-1
25/12/2016,,,-1
26/12/2016,,,-1
27/12/2016,,,-1
28/12/2016,1139.08,1144.47,1141.775
29/12/2016,1144.99,1150.7,1147.845
30/12/2016,1157.55,1163.22,1160.385
31/12/2016,,,-1
01/01/2017,,,-1
02/01/2017,,,-1
03/01/2017,1151.76,1157.25,1154.505
04/01/2017,1157.14,1162.6,1159.87
05/01/2017,1170.32,1175.75,1173.035
06/01/2017,1175,1180.47,1177.735
07/01/2017,,,-1
08/01/2017,,,-1
09/01/2017,1172.23,1177.81,1175.02
10/01/2017,1181.61,1186.84,1184.225
11/01/2017,1185.46,1190.87,1188.165
12/01/2017,1195.07,1200.63,1197.85
13/01/2017,1191.44,1197.03,1194.235
14/01/2017,,,-1
15/01/2017,,,-1
16/01/2017,1200.36,1206.14,1203.25
17/01/2017,1205.35,1210.9,1208.125
18/01/2017,1211.06,1216.42,1213.74
19/01/2017,1199.32,1204.71,1202.015
20/01/2017,1203.53,1209.01,1206.27
21/01/2017,,,-1
22/01/2017,,,-1
23/01/2017,1213.21,1218.65,1215.93
24/01/2017,1213.33,1219.01,1216.17
25/01/2017,1203.72,1209.22,1206.47
26/01/2017,,,-1
27/01/2017,1182.53,1188.06,1185.295
28/01/2017,,,-1
29/01/2017,,,-1
30/01/2017,1190.43,1195.97,1193.2
31/01/2017,1196.24,1201.74,1198.99
01/02/2017,1207.12,1212.69,1209.905
02/02/2017,1211.26,1216.75,1214.005
03/02/2017,1211.06,1216.61,1213.835
04/02/2017,,,-1
05/02/2017,,,-1
06/02/2017,1220.55,1225.91,1223.23
07/02/2017,1230.09,1235.61,1232.85
08/02/2017,1230.88,1236.5,1233.69
09/02/2017,1237.86,1243.45,1240.655
10/02/2017,1221.84,1227.42,1224.63
11/02/2017,,,-1
12/02/2017,,,-1
13/02/2017,1227.53,1233.05,1230.29
14/02/2017,1224.78,1230.1,1227.44
15/02/2017,1223.54,1229.18,1226.36
16/02/2017,1231.52,1236.97,1234.245
17/02/2017,1235.19,1240.8,1237.995
18/02/2017,,,-1
19/02/2017,,,-1
20/02/2017,1231.94,1237.42,1234.68
21/02/2017,1231.7,1237.24,1234.47
22/02/2017,1233.29,1238.75,1236.02
23/02/2017,1234.18,1239.78,1236.98
24/02/2017,1247.63,1253.46,1250.545
25/02/2017,,,-1
26/02/2017,,,-1
27/02/2017,1253.77,1259.23,1256.5
28/02/2017,1250.26,1256.03,1253.145
01/03/2017,1241.94,1247.48,1244.71
02/03/2017,1243.59,1249.21,1246.4
03/03/2017,1229.54,1235.13,1232.335
04/03/2017,,,-1
05/03/2017,,,-1
06/03/2017,1231.23,1236.8,1234.015
07/03/2017,1222.84,1228.43,1225.635
08/03/2017,1213.64,1219.21,1216.425
09/03/2017,1203.64,1209.17,1206.405
10/03/2017,1195.68,1201.33,1198.505
11/03/2017,,,-1
12/03/2017,,,-1
13/03/2017,1204.4,1209.9,1207.15
14/03/2017,1200.3,1205.83,1203.065
15/03/2017,1199.34,1205.08,1202.21
16/03/2017,1221.36,1226.82,1224.09
17/03/2017,1224.01,1229.55,1226.78
18/03/2017,,,-1
19/03/2017,,,-1
20/03/2017,1230.35,1235.92,1233.135
21/03/2017,1227.76,1233.37,1230.565
